"id","gmoUS_pos","gmoUS_neg","gmoIncreaseYield_pos","gmoIncreaseYield_neg","Obama_pos","Obama_neg","Soros_pos","Soros_neg","911_pos","911_neg"
1,1,NA,NA,2,2,NA,1,NA,NA,5
2,NA,5,1,NA,NA,1,NA,5,1,NA
3,NA,3,NA,2,1,NA,NA,3,3,NA
4,2,NA,NA,3,3,NA,3,NA,NA,4
5,NA,4,NA,4,NA,4,NA,2,NA,4
6,NA,3,NA,2,3,NA,NA,3,3,NA
7,5,NA,3,NA,3,NA,3,NA,NA,3
8,NA,3,NA,3,NA,3,NA,4,NA,3
9,2,NA,5,NA,NA,4,NA,5,NA,4
10,NA,4,NA,2,NA,4,2,NA,NA,3
11,NA,3,4,NA,3,NA,NA,3,2,NA
12,NA,2,4,NA,1,NA,2,NA,NA,3
13,NA,4,NA,4,3,NA,NA,4,NA,5
14,4,NA,4,NA,NA,3,3,NA,NA,3
15,NA,5,NA,2,3,NA,1,NA,NA,1
16,NA,4,NA,2,3,NA,NA,3,3,NA
17,3,NA,3,NA,3,NA,NA,3,NA,3
18,1,NA,NA,2,NA,3,2,NA,2,NA
19,NA,5,NA,2,NA,4,NA,5,1,NA
20,5,NA,2,NA,3,NA,NA,5,5,NA
21,2,NA,NA,4,3,NA,2,NA,NA,2
22,2,NA,4,NA,3,NA,NA,2,NA,3
23,NA,3,NA,4,NA,3,3,NA,NA,3
24,1,NA,4,NA,NA,1,2,NA,1,NA
25,NA,3,NA,4,NA,3,2,NA,NA,3
26,NA,2,4,NA,NA,2,NA,4,2,NA
27,NA,3,NA,3,NA,2,NA,2,NA,3
28,3,NA,NA,3,3,NA,3,NA,3,NA
29,3,NA,NA,3,3,NA,4,NA,NA,4
30,3,NA,NA,2,3,NA,NA,3,NA,2
31,5,NA,NA,4,NA,3,NA,4,4,NA
32,4,NA,3,NA,4,NA,3,NA,NA,3
33,3,NA,4,NA,NA,3,1,NA,NA,3
34,3,NA,4,NA,3,NA,3,NA,2,NA
35,NA,4,4,NA,NA,4,4,NA,NA,5
36,NA,3,NA,3,3,NA,NA,3,NA,3
37,NA,1,NA,2,3,NA,NA,2,4,NA
38,2,NA,NA,2,3,NA,3,NA,NA,2
39,NA,3,NA,3,3,NA,NA,3,NA,4
40,NA,4,5,NA,3,NA,NA,3,NA,4
41,2,NA,NA,2,4,NA,4,NA,NA,2
42,3,NA,3,NA,NA,3,NA,3,NA,3
43,NA,5,NA,4,5,NA,NA,4,NA,4
44,2,NA,NA,4,2,NA,NA,2,4,NA
45,2,NA,5,NA,4,NA,NA,5,NA,4
46,3,NA,4,NA,NA,4,3,NA,NA,4
47,NA,5,4,NA,5,NA,NA,4,3,NA
48,3,NA,NA,2,NA,3,NA,2,4,NA
49,NA,4,NA,4,NA,3,3,NA,NA,4
50,4,NA,2,NA,3,NA,NA,4,2,NA
51,NA,3,NA,1,3,NA,NA,3,NA,3
52,3,NA,4,NA,NA,4,NA,3,NA,3
53,3,NA,NA,3,4,NA,NA,3,NA,2
54,NA,4,NA,5,3,NA,4,NA,NA,5
55,3,NA,NA,2,NA,3,4,NA,3,NA
56,3,NA,NA,3,NA,3,NA,2,3,NA
57,5,NA,NA,5,4,NA,NA,4,NA,4
58,4,NA,5,NA,NA,3,3,NA,NA,3
59,4,NA,NA,3,NA,4,NA,3,3,NA
60,2,NA,5,NA,4,NA,NA,4,NA,3
61,NA,5,5,NA,3,NA,2,NA,NA,5
62,NA,3,3,NA,3,NA,3,NA,3,NA
63,NA,2,NA,3,4,NA,3,NA,NA,3
64,3,NA,NA,4,NA,3,NA,4,NA,3
65,NA,1,NA,5,3,NA,NA,3,5,NA
66,3,NA,NA,2,NA,3,NA,3,NA,2
67,NA,2,4,NA,2,NA,2,NA,NA,1
68,NA,1,NA,3,3,NA,NA,3,NA,3
69,4,NA,NA,2,NA,4,4,NA,4,NA
70,NA,2,NA,5,2,NA,4,NA,NA,4
71,NA,3,4,NA,NA,4,NA,4,4,NA
72,3,NA,NA,5,NA,4,NA,4,4,NA
73,NA,3,4,NA,NA,4,4,NA,NA,4
74,NA,2,4,NA,3,NA,NA,4,NA,2
75,3,NA,NA,2,NA,3,3,NA,NA,3
76,NA,3,2,NA,NA,3,NA,3,3,NA
77,NA,3,NA,4,4,NA,4,NA,NA,4
78,NA,3,4,NA,NA,4,4,NA,NA,4
79,NA,4,NA,4,NA,3,NA,4,NA,4
80,3,NA,2,NA,NA,3,NA,3,3,NA
81,3,NA,4,NA,3,NA,NA,3,NA,4
82,3,NA,NA,4,3,NA,NA,4,4,NA
83,3,NA,NA,4,2,NA,4,NA,4,NA
84,3,NA,NA,3,NA,3,3,NA,2,NA
85,3,NA,4,NA,NA,2,NA,4,NA,4
86,3,NA,4,NA,2,NA,NA,4,4,NA
87,3,NA,NA,4,2,NA,NA,4,5,NA
88,NA,3,NA,4,2,NA,4,NA,4,NA
89,3,NA,NA,4,NA,2,4,NA,4,NA
90,3,NA,NA,4,NA,2,NA,4,4,NA
91,3,NA,4,NA,NA,3,NA,2,4,NA
92,2,NA,4,NA,NA,3,3,NA,2,NA
93,3,NA,3,NA,3,NA,5,NA,NA,3
94,3,NA,NA,4,2,NA,NA,4,NA,4
95,NA,3,NA,4,NA,2,4,NA,4,NA
96,3,NA,4,NA,NA,2,NA,4,NA,4
97,3,NA,4,NA,3,NA,3,NA,4,NA
98,NA,4,4,NA,NA,4,4,NA,2,NA
99,NA,2,NA,2,NA,2,2,NA,NA,4
100,3,NA,NA,2,1,NA,1,NA,3,NA
101,3,NA,3,NA,NA,3,NA,3,NA,3
102,NA,3,3,NA,3,NA,3,NA,NA,3
103,4,NA,NA,4,5,NA,2,NA,5,NA
104,3,NA,3,NA,3,NA,3,NA,NA,3
105,2,NA,4,NA,NA,3,NA,3,NA,4
106,NA,4,NA,4,NA,4,NA,5,NA,5
107,NA,5,3,NA,3,NA,3,NA,3,NA
108,4,NA,NA,4,NA,4,NA,3,3,NA
109,NA,4,4,NA,NA,2,NA,2,2,NA
