"text.short","text.str","keyed","plot.text"
"allcGentz.Beyonce.rally","The musicians Beyonce and Jay Z appeared at a rally in support of Hillary Clinton.","Pos keyed","Beyonce rally"
"allcGentz.Beyonce.rally","The musicians Beyonce and Jay Z DID NOT appear at a rallies in support of Hillary Clinton.","Neg keyed","Beyonce rally"
"allcGentz.Clinton.arms","The Clinton Foundation bought $137 million in illegal arms.","Pos keyed","Clinton Foundation"
"allcGentz.Clinton.arms","The Clinton Foundation DID NOT buy millions of dollars worth of illegal arms.","Neg keyed","Clinton Foundation"
"allcGentz.Clinton.deplorables","Hillary Clinton DID NOT say that """"you could put half of Trump's supporters into what I call the basket of deplorables.""""","Neg keyed","Clinton deplorables"
"allcGentz.Clinton.deplorables","Hillary Clinton said that """"you could put half of Trump's supporters into what I call the basket of deplorables.""""","Pos keyed","Clinton deplorables"
"allcGentz.Clinton.stumbled","At the 9/11 memorial ceremony, Hillary Clinton stumbled and had to be helped into a van.","Pos keyed","Clinton stumbled"
"allcGentz.Clinton.stumbled","At the 9/11 memorial ceremony, Hillary Clinton was healthy and walked herself back to a van.","Neg keyed","Clinton stumbled"
"allcGentz.FBI.Clinton.charges","Two days before the election, the FBI director told Congress that a newer batch of emails linked to Hillary Clinton's private email server changed his conclusion that Clinton should face no charges over her handling of classified information.","Pos keyed","FBI Clinton charges"
"allcGentz.FBI.Clinton.charges","Two days before the election, the FBI director told Congress that a newer batch of emails linked to Hillary Clinton's private email server DID NOT change his conclusion that Clinton should face no charges over her handling of classified information.","Neg keyed","FBI Clinton charges"
"allcGentz.FBI.agent","An FBI agent connected to Hillary Clinton's email disclosures DID NOT murder his wife or shoot himself.","Neg keyed","FBI agent"
"allcGentz.FBI.agent","An FBI agent connected to Hillary Clinton's email disclosures murdered his wife and shot himself.","Pos keyed","FBI agent"
"allcGentz.FBI.director","In late October, the FBI director kept to himself and DID NOT alert members of Congress that the FBI had discovered new emails relevant to its investigation of Hillary Clinton's personal server.","Neg keyed","FBI director"
"allcGentz.FBI.director","On October 28th, the FBI director alerted members of Congress that the FBI had discovered new emails relevant to its investigation of Hillary Clinton's personal server.","Pos keyed","FBI director"
"allcGentz.Ireland.asylum","In May 2016, Ireland announced that it was officially accepting Americans requesting political asylum from a Donald Trump presidency.","Pos keyed","Ireland asylum"
"allcGentz.Ireland.asylum","Ireland DID NOT announce that it was officially accepting Americans requesting political asylum from a Donald Trump presidency.","Neg keyed","Ireland asylum"
"allcGentz.Pence.vulgar","Mike Pence DID NOT say that """"Michelle Obama is the most vulgar First Lady we've ever had.""""","Neg keyed","Pence vulgar"
"allcGentz.Pence.vulgar","Mike Pence said that """"Michelle Obama is the most vulgar First Lady we've ever had.""""","Pos keyed","Pence vulgar"
"allcGentz.Pope.endorse","Pope Francis DID NOT endorse Donald Trump.","Neg keyed","Pope endorse"
"allcGentz.Pope.endorse","Pope Francis endorsed Donald Trump.","Pos keyed","Pope endorse"
"allcGentz.RuPaul","Celebrity RuPaul DID NOT say that Donald Trump mistook him for a woman and groped him at a party in 1995.","Neg keyed","RuPaul groped"
