"id","response.chinaCurrency","response.trumpBudget","response.berinskyACA","response.nyhanReifler","response.hksVitaminC","response.hksBioWeapon","response.hksHandWash","response.hksUSCreated","response.demNormsAccept","response.demNormsViol","response.forBornUS","response.forBornCanada","Q47","Q48","Q49","response.olivIraq","response.oliv911","response.olivObama","response.olivContrails","response.olivSoros","Q53.2","lucid_rid","lucid_age","lucid_gender","lucid_hhi","lucid_race","lucid_hispanic","lucid_education","lucid_political_party","lucid_region","lucid_zip","lucid_dma","lucid_state","isRandomized","berinskyACA","nyhanReifler","hksVitaminC","hksBioWeapon","hksHandWash","hksUSCreated","chinaCurrency","trumpBudget","olivIraq","oliv911","olivObama","olivContrails","olivSoros","demNormsAccept","demNormsViol","forBornUS","forBornCanada","shirker.allcGent","shirker.oliv","allcGentz.Beyonce.rally","allcGentz.Clinton.arms","allcGentz.Clinton.deplorables","allcGentz.Clinton.stumbled","allcGentz.FBI.Clinton.charges","allcGentz.FBI.agent","allcGentz.FBI.director","allcGentz.Ireland.asylum","allcGentz.Pence.vulgar","allcGentz.Pope.endorse","allcGentz.RuPaul","allcGentz.Trump.concede","response.allcGentz.Beyonce.rally","response.allcGentz.Clinton.arms","response.allcGentz.Clinton.deplorables","response.allcGentz.Clinton.stumbled","response.allcGentz.FBI.Clinton.charges","response.allcGentz.FBI.agent","response.allcGentz.FBI.director","response.allcGentz.Ireland.asylum","response.allcGentz.Pence.vulgar","response.allcGentz.Pope.endorse","response.allcGentz.RuPaul","response.allcGentz.Trump.concede","recode.chinaCurrency","recode.trumpBudget","recode.berinskyACA","recode.nyhanReifler","recode.hksVitaminC","recode.hksBioWeapon","recode.hksHandWash","recode.hksUSCreated","recode.demNormsAccept","recode.demNormsViol","recode.forBornUS","recode.forBornCanada","recode.olivIraq","recode.oliv911","recode.olivObama","recode.olivContrails","recode.olivSoros","recode.allcGentz.Beyonce.rally","recode.allcGentz.Clinton.arms","recode.allcGentz.Clinton.deplorables","recode.allcGentz.Clinton.stumbled","recode.allcGentz.FBI.Clinton.charges","recode.allcGentz.FBI.agent","recode.allcGentz.FBI.director","recode.allcGentz.Ireland.asylum","recode.allcGentz.Pence.vulgar","recode.allcGentz.Pope.endorse","recode.allcGentz.RuPaul","recode.allcGentz.Trump.concede","education","age","vconservative","party","vliberal","numeracy","wgt"
1,79.7,99.9,"True","Strongly agree","Definitely false","Definitely true","Probably true","Definitely false","Strongly agree","Slightly disagree",50,62.8,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Strongly agree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Vote for the Democrat Joe Biden","5fe0e2ca-3b11-1a03-a87b-16452c074b30","19","2","1","1","1","2","3","2","62466","581","14","1","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","","","","","","","Not sure","","","","","",79.7,99.9,"False","Strongly agree","Definitely false","Definitely false","Probably false","Definitely false","Strongly disagree","Slightly disagree",50,62.8,"Strongly disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","","","","","","","Not sure","","","","","",2,19,0,"Democrat",0,0,0.47046686834987
2,86.9,84.3,"True","Agree","Probably true","Definitely true","Probably true","Probably true","Somewhat agree","Strongly agree",71.9,63.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Wastewater from the airplane lavatory","Agree","Agree","Agree","Agree","Agree","Vote for the Republican Donald Trump","5fe0e463-4dfa-06ec-a15d-6db54d7217f1","41","2","1","1","1","2","2","2","53203","617","50","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed",TRUE,TRUE,"Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true",86.9,84.3,"True","Disagree","Probably false","Definitely false","Probably false","Probably false","Somewhat disagree","Strongly agree",71.9,63.2,"Disagree","Disagree","Agree","Disagree","Disagree","Yes, true","No, false","No, false","No, false","Yes, true","No, false","No, false","No, false","Yes, true","No, false","Yes, true","Yes, true",2,41,0,"Republican",1,0,0.746154240255765
3,68.2,78.1,"True","Strongly agree","Definitely false","Definitely true","Probably true","Definitely false","Somewhat agree","Strongly disagree",17.3,34.9,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Disagree","","","","","Vote for the Democrat Joe Biden","5fe0e4d7-20cb-c775-ed35-7d60855aef2d","57","1","9","2","1","4","1","1","11225","501","33","1","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","","","","Yes, true","","","","","","","","",31.8,21.9,"False","Strongly agree","Definitely false","Definitely false","Probably false","Definitely false","Somewhat disagree","Strongly agree",17.3,34.9,"Disagree","","","","","","","","Yes, true","","","","","","","","",4,57,0,"Democrat",1,0,1.01810641559312
4,50,80.5,"False","Strongly agree","Definitely true","Definitely false","Definitely true","Definitely false","Strongly disagree","Strongly agree",86.5,25.3,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Vote for the Democrat Joe Biden","5fe0e4a6-c1ac-0228-abf5-5006ff664e73","66","2","19","1","1","7","1","4","99501","743","2","1","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","","","","","","No, false","","","","","","",50,19.5,"False","Strongly disagree","Definitely false","Definitely false","Definitely false","Definitely false","Strongly agree","Strongly disagree",13.5,74.7,"Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","","","","","","No, false","","","","","","",7,66,0,"Independent",0,0,0.724833266434345
5,24.2,72.4,"False","Neither agree nor disagree","Probably true","Definitely true","Probably false","Definitely false","Somewhat disagree","Slightly agree",44.8,47.3,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","Agree","Disagree","Strongly disagree","Disagree","Vote for the Republican Donald Trump","5fe0e554-b165-506d-a91a-06c277994f6c","36","2","5","1","1","6","2","4","97303","820","38","1","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Yes, true","Yes, true","No, false","Yes, true","Not sure","No, false","Yes, true","Yes, true","No, false","Yes, true","Not sure","No, false",75.8,72.4,"False","Neither agree nor disagree","Probably false","Definitely true","Probably false","Definitely false","Somewhat disagree","Slightly disagree",55.2,52.7,"Neither agree nor disagree","Agree","Disagree","Strongly disagree","Agree","Yes, true","No, false","Yes, true","Yes, true","Not sure","Yes, true","Yes, true","No, false","Yes, true","Yes, true","Not sure","No, false",6,36,1,"Republican",0,0,0.962353446331682
6,50,80.2,"True","Strongly agree","Probably false","Probably false","Probably false","Probably false","Strongly agree","Strongly disagree",70.1,95.6,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Chemicals distributed by government agents","Strongly disagree","Strongly agree","","","","Vote for the Republican Donald Trump","5fe0e28c-ddbc-f931-1a14-753bba9dae22","78","2","11","1","1","4","3","1","19403","504","39","1","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Yes, true","Not sure","Yes, true","No, false","Not sure","No, false","Yes, true","Yes, true","Yes, true","Not sure","No, false","Yes, true",50,80.2,"True","Strongly disagree","Probably false","Probably true","Probably false","Probably false","Strongly disagree","Strongly disagree",29.9,4.40000000000001,"Strongly agree","Strongly agree","","","","Yes, true","Not sure","Yes, true","Yes, true","Not sure","Yes, true","No, false","No, false","Yes, true","Not sure","No, false","No, false",4,78,0,"Independent",0,1,0.80848632469251
7,67.2,67.9,"False","Neither agree nor disagree","Probably true","Probably true","Definitely true","Definitely true","Strongly agree","Strongly agree",46.6,51.6,"Established “death panels” which have the authority to determine whether or not a gravely ill or injured person should receive health care based on their “level of productivity in society.”","In the United States","Wastewater from the airplane lavatory","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Vote for the Democrat Joe Biden","5fe0e5de-7ffd-2149-a6be-e41f89850e61","34","1","8","1","2","2","1","2","60411","602","14","1","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed",TRUE,TRUE,"Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true",32.8,67.9,"True","Neither agree nor disagree","Probably false","Probably false","Definitely true","Definitely false","Strongly agree","Strongly disagree",53.4,48.4,"Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","No, false","No, false","No, false","No, false","Yes, true","No, false","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true",2,34,0,"Democrat",1,0,1.18523329468698
8,49.9,88.9,"False","Agree","Definitely true","Definitely true","Definitely true","Definitely true","Strongly agree","Strongly disagree",9.6,23.2,"Prohibited insurers to deny coverage to those with pre-existing conditions.","In the United States","Water vapor from the jet exhaust mixing with cold air outside the plane","Neither agree nor disagree","","","","","Vote for the Democrat Joe Biden","5fe0e68c-7a22-86b8-ead8-df603f1a1200","69","2","3","1","1","2","1","2","57216","725","42","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","","","","","","","","","","Not sure","","",50.1,88.9,"False","Disagree","Definitely false","Definitely false","Definitely false","Definitely false","Strongly agree","Strongly disagree",9.6,23.2,"Neither agree nor disagree","","","","","","","","","","","","","","Not sure","","",2,69,0,"Democrat",0,1,0.561994574124504
9,75.6,83,"True","Disagree","Definitely true","Definitely true","Definitely true","Definitely true","Strongly agree","Strongly agree",53.4,55.9,"Prohibited insurers to deny coverage to those with pre-existing conditions.","Abroad","Water vapor from the jet exhaust mixing with cold air outside the plane","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Vote for the Republican Donald Trump","5fe0e76e-8381-45d6-250a-541701f37ba3","22","1","8","1","1","2","2","3","77484","618","44","1","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Neg keyed","Yes, true","Yes, true","Not sure","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Yes, true","Not sure",24.4,17,"True","Agree","Definitely false","Definitely false","Definitely false","Definitely true","Strongly agree","Strongly agree",53.4,55.9,"Agree","Neither agree nor disagree","Agree","Disagree","Disagree","Yes, true","Yes, true","Not sure","No, false","Yes, true","Yes, true","Yes, true","No, false","Yes, true","No, false","Yes, true","Not sure",2,22,0,"Republican",0,0,0.801596112833044
10,50,58.6,"Not sure","Neither agree nor disagree","Definitely true","Not sure","Definitely true","Not sure","Strongly disagree","Strongly agree",90.3,93.1,"Nationalized healthcare, disallowing private insurance companies from continuing to provide coverage.","In the United States","Wastewater from the airplane lavatory","Neither agree nor disagree","","","","","Vote for the Democrat Joe Biden","5fe0e520-f4f2-4a37-2783-c4b8244d1fe1","67","2","5","2","1","6","1","3","75203","623","44","1","Neg keyed","Neg keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Neg keyed","Neg keyed","Pos keyed","Pos keyed",FALSE,FALSE,"Neg keyed","Neg keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","Pos keyed","","","","","","Not sure","","","","","","",50,58.6,"Not sure","Neither agree nor disagree","Definitely false","Not sure","Definitely true","Not sure","Strongly agree","Strongly disagree",90.3,93.1,"Neither agree nor disagree","","","","","","","","","","Not sure","","","","","","",6,67,0,"Democrat",0,0,0.673136595827227
