"statement.id","headline.id","resp.id","survey.id","contest","statemtrue","belief.orig","round","pr.true","pr.true.prev","news.source","pid.summ"
1,NA,51,"tess",3,1,47,1,47,NA,NA,"Neither"
1,NA,53,"tess",4,1,50,1,50,NA,NA,"Democrat"
1,NA,62,"tess",4,0,0,1,100,NA,NA,"Democrat"
1,NA,64,"tess",3,0,50,1,50,NA,NA,"Democrat"
1,NA,68,"tess",4,1,50,1,50,NA,NA,"Democrat"
1,NA,69,"tess",4,0,50,1,50,NA,NA,"Neither"
1,NA,70,"tess",1,0,29,1,71,NA,NA,"Republican"
1,NA,72,"tess",2,0,34,1,66,NA,NA,"Democrat"
1,NA,77,"tess",1,0,16,1,84,NA,NA,"Democrat"
1,NA,78,"tess",2,0,50,1,50,NA,NA,"Democrat"
1,NA,80,"tess",2,1,43,1,43,NA,NA,"Republican"
1,NA,90,"tess",3,1,70,1,70,NA,NA,"Democrat"
1,NA,94,"tess",1,0,99,1,1,NA,NA,"Republican"
1,NA,95,"tess",1,0,87,1,13,NA,NA,"Democrat"
1,NA,96,"tess",4,0,57,1,43,NA,NA,"Democrat"
1,NA,114,"tess",2,1,99,1,99,NA,NA,"Republican"
1,NA,118,"tess",2,0,70,1,30,NA,NA,"Democrat"
1,NA,120,"tess",4,1,99,1,99,NA,NA,"Democrat"
1,NA,128,"tess",2,0,87,1,13,NA,NA,"Republican"
1,NA,130,"tess",1,0,45,1,55,NA,NA,"Republican"
1,NA,136,"tess",2,0,50,1,50,NA,NA,"Democrat"
1,NA,140,"tess",1,1,90,1,90,NA,NA,"Republican"
1,NA,151,"tess",4,1,10,1,10,NA,NA,"Republican"
1,NA,152,"tess",1,1,51,1,51,NA,NA,"Neither"
1,NA,165,"tess",4,0,100,1,0,NA,NA,"Democrat"
1,NA,182,"tess",2,1,86,1,86,NA,NA,"Democrat"
1,NA,187,"tess",3,1,50,1,50,NA,NA,"Republican"
1,NA,188,"tess",4,1,36,1,36,NA,NA,"Democrat"
1,NA,189,"tess",4,1,80,1,80,NA,NA,"Republican"
1,NA,196,"tess",2,0,69,1,31,NA,NA,"Democrat"
1,NA,206,"tess",4,0,49,1,51,NA,NA,"Republican"
1,NA,207,"tess",4,0,100,1,0,NA,NA,"Republican"
1,NA,216,"tess",2,1,77,1,77,NA,NA,"Democrat"
1,NA,221,"tess",2,1,99,1,99,NA,NA,"Democrat"
1,NA,224,"tess",4,1,76,1,76,NA,NA,"Democrat"
1,NA,234,"tess",4,1,99,1,99,NA,NA,"Democrat"
1,NA,247,"tess",4,1,15,1,15,NA,NA,"Republican"
1,NA,262,"tess",2,1,10,1,10,NA,NA,"Democrat"
